Tiempo consumido: 332.921, para cantidad: 500
Tiempo consumido: 332.683, para cantidad: 500
Tiempo consumido: 334.282, para cantidad: 500
Tiempo consumido: 332.491, para cantidad: 500
Tiempo consumido: 332.323, para cantidad: 500
Tiempo consumido: 334.206, para cantidad: 500
Tiempo consumido: 332.700, para cantidad: 500
Tiempo consumido: 332.859, para cantidad: 500
Tiempo consumido: 333.013, para cantidad: 500
Tiempo consumido: 332.448, para cantidad: 500
Tiempo consumido: 2680.106, para cantidad: 1000
Tiempo consumido: 2694.550, para cantidad: 1000
Tiempo consumido: 2686.667, para cantidad: 1000
Tiempo consumido: 2690.712, para cantidad: 1000
Tiempo consumido: 2693.750, para cantidad: 1000
Tiempo consumido: 2702.797, para cantidad: 1000
Tiempo consumido: 2684.209, para cantidad: 1000
Tiempo consumido: 2690.437, para cantidad: 1000
Tiempo consumido: 2688.195, para cantidad: 1000
Tiempo consumido: 2688.194, para cantidad: 1000
Tiempo consumido: 9187.610, para cantidad: 1500
Tiempo consumido: 9126.108, para cantidad: 1500
Tiempo consumido: 9136.332, para cantidad: 1500
Tiempo consumido: 9117.132, para cantidad: 1500
Tiempo consumido: 9082.371, para cantidad: 1500
Tiempo consumido: 9142.469, para cantidad: 1500
Tiempo consumido: 9123.923, para cantidad: 1500
Tiempo consumido: 9109.858, para cantidad: 1500
Tiempo consumido: 9119.540, para cantidad: 1500
Tiempo consumido: 9148.551, para cantidad: 1500
Tiempo consumido: 21723.348, para cantidad: 2000
Tiempo consumido: 21760.459, para cantidad: 2000
Tiempo consumido: 21747.313, para cantidad: 2000
Tiempo consumido: 21781.356, para cantidad: 2000
Tiempo consumido: 21751.319, para cantidad: 2000
Tiempo consumido: 21741.059, para cantidad: 2000
Tiempo consumido: 22052.775, para cantidad: 2000
Tiempo consumido: 21881.298, para cantidad: 2000
Tiempo consumido: 21777.160, para cantidad: 2000
Tiempo consumido: 21778.633, para cantidad: 2000
Tiempo consumido: 132689.128, para cantidad: 3500
Tiempo consumido: 133129.368, para cantidad: 3500
Tiempo consumido: 132781.307, para cantidad: 3500
Tiempo consumido: 132710.728, para cantidad: 3500
Tiempo consumido: 132115.032, para cantidad: 3500
Tiempo consumido: 131334.394, para cantidad: 3500
Tiempo consumido: 131338.735, para cantidad: 3500
Tiempo consumido: 132458.346, para cantidad: 3500
Tiempo consumido: 132564.274, para cantidad: 3500
Tiempo consumido: 133182.628, para cantidad: 3500
Tiempo consumido: 402455.967, para cantidad: 5000
Tiempo consumido: 403280.116, para cantidad: 5000
Tiempo consumido: 400714.891, para cantidad: 5000
Tiempo consumido: 400885.965, para cantidad: 5000
Tiempo consumido: 398837.352, para cantidad: 5000
Tiempo consumido: 399263.608, para cantidad: 5000
Tiempo consumido: 397520.028, para cantidad: 5000
Tiempo consumido: 397379.792, para cantidad: 5000
Tiempo consumido: 404008.778, para cantidad: 5000
Tiempo consumido: 396837.148, para cantidad: 5000
